Horz. hyoid pos.,Vert. hyoid pos.,Jaw angle (deg.),Lip protrusion,Lip distance,Tongue body X,Tongue body Y,Tongue tip X,Tongue tip Y,Tongue blade X,Tongue blade Y,,,,,,,,,,,,,
,Horz. jaw pos.,Velum shape,Velic opening,Wall compliance,Tongue side elevation 1,Tongue side elevation 2,Tongue side elevation 3,Tongue side elevation 4,Min. area (tongue body),Min. area (tongue tip),Min. area (teeth-lips),Maxilla width,Maxilla length,Maxilla curvature,Mandible width,Mandible length,Mandible curvature,Maxilla angle,Palate fronting,Palatal concavity,Palate angle,Alveo-palatal weight,SVTv length
A56,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.216,0.453,0,0.676,-7.95
A57,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.424,0.097,0.415,0.819,-7.95
A58,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.176,0.408,0.244,0.494,-7.95
A59,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.392,0,0,0.996,-7.95
A60,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.238,1,0.495,1,-7.95
A61,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0.213,0.252,0.322,-7.95
A62,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.097,1,0.222,0.7,-7.95
A63,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0.77,0.241,0.235,-7.95
A64,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0,0.161,0.163,-7.95
A65,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.437,0,0,1,-7.95
A66,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.204,0.807,0.042,0.418,-7.95
A67,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.111,1,0,0.698,-7.95
A68,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0.442,0.519,0.445,-7.95
A69,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.362,0.26,0.675,0.744,-7.95
A70,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0,0,0.034,-7.95
A71,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0.658,0.041,0.219,-7.95
A72,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0.261,0.029,0.154,-7.95
A73,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.229,1,0.159,0.683,-7.95
A74,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.097,1,0.387,0.414,-7.95
A75,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.276,1,0,1,-7.95
A76,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.246,1,1,0.744,-7.95
A77,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.192,0.003,0.082,0.104,-7.95
A78,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.273,0.082,0,0.465,-7.95
A79,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.255,0.209,0.083,0.329,-7.95
A80,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.444,0,0,0.513,-7.95
A81,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.35,0.607,0.014,0.985,-7.95
A82,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.26,1,0.244,0.598,-7.95
A83,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.461,0.508,0.567,1,-7.95
A84,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.385,1,1,1,-7.95
A85,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.325,0,0.43,0.529,-7.95
A86,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.328,0.815,0.344,1,-7.95
A87,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.3,0.23,0,1,-7.95
A88,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.079,0.219,0.728,0.34,-7.95
T01,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.366,0.721,0.955,0.986,-7.95
T02,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0.383,0.69,0.294,-7.95
T03,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.033,0.872,1,0.548,-7.95
T04,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.213,0.009,0.614,0.75,-7.95
T05,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.137,0.196,0.835,0.624,-7.95
T06,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.034,0.293,0.74,0.775,-7.95
T07,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.288,0.45,0.975,0.99,-7.95
T08,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.112,1,0.97,0.493,-7.95
T09,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.315,1,1,1,-7.95
T10,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0,0.245,0.27,-7.95
T11,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.19,0.158,1,0.689,-7.95
T12,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0.948,1,0.751,-7.95
T13,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.291,0.538,0.868,0.646,-7.95
T14,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.356,0.023,0.712,0.661,-7.95
T15,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.398,0,0.537,0.703,-7.95
T16,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0.23,0.909,0.458,-7.95
T17,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.308,0.13,0.933,0.67,-7.95
T18,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.259,0.404,0.813,0.841,-7.95
T19,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.225,0.151,0.779,0.567,-7.95
T20,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.174,0.274,0.954,0.564,-7.95
T21,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.278,0.087,0.718,0.84,-7.95
T22,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.33,0.226,0.858,0.733,-7.95
average,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.726758,0.343016,0.200746,0.653359,-7.95
low palate,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0,0,0.99,-7.95
high palate,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.99,0.99,0.99,0.5,-7.95
