ID	pRoof4	pRoof3	pRoof2	pRoof1	pRoofA	pRoofS	pTrans3	pTrans2	pTrans1	pTransA	pTransS	aR3	aR2	aR1	aRA	aRS	upIS	upIA	pHeight	pLen	pWid	pWHRat	pWLRat	pHLRat	aRHeight	aRDepth	antPArea	antPAreaR	antPLin	overjet	overbite	pArchCorM24	pArchCorM23	pArchCorM22	pArchCorM21	dArchAxial4	dArchAxial3	dArchAxial2	dArchAxial1	slMHeight	slMDepth	ttTotA	ttAvailA	ttRatioA	lowIS	lowIA	cHeight	pm2Height	m2Height	cLen	pm2Len	m2Len	cWidth	pm2Width	m2Width	cp2R	cm2R
100024	4.5210825925e-05	-0.0005447594994	-0.012415527621	0.37346951959	14.654216554	0.26149119975	-0.0021866364042	0.083546233114	-1.1178983998	40.950037295	-0.86775693798	0.014707492822	-1.4672062239	47.653455099	43.363569733	-0.94444929112	-2.9589701339	71.327039031	19.085541066	38.50920233	40.482977337	1.0512546323	2.1211333332	0.49560987792	11.224184976	29.767114994	249.97204165	0.56788689026	0.96618066249	2.8859488928	4.1716638004	1.8259145448e-05	0.00049560227266	-0.044170387714	-0.30126201014	-0.00015201017362	-0.00094469398593	-0.038611694833	-0.16900958285	27.43724478	29.767114994	117.50697455	70.775610169	0.60230986661	0.98755416187	44.641225034	3.4633754024	15.181260924	14.221382542	13.305194468	30.41571543	42.932415357	24.816267751	31.291960581	35.375535936	0.793055701535942	0.70150930846381
100025	-1.7467659069e-05	-0.0001523286543	0.0061681053217	0.11626473779	5.6204111921	0.098410537273	-0.0044453791504	0.27598956735	-6.0907949706	34.538218967	-0.68826353899	0.00016658319198	0.038294493843	-3.9583616531	33.451875955	-0.66067834504	-1.4923996617	56.17547111	14.62829352	38.454534915	39.94000048	1.0386291388	2.7303253401	0.38040490029	10.137474646	31.614617291	165.90111137	0.53840497025	0.96237645887	2.7975096276	2.6884216777	-6.0241383904e-06	8.3568662505e-05	-0.035353189588	-0.080777580247	-0.00015670209865	-0.00013486300947	-0.033789770047	-0.16169966485	23.413768322	30.854626444	95.634961516	60.263683425	0.63014281043	0.68562394306	34.435468389	7.6847285108	12.954146108	11.649421554	19.562791558	32.650097475	47.508437962	24.567008612	32.640493348	38.58838642	0.752654328783462	0.636642546920986
100026	1.3733456401e-05	1.8609316944e-06	-0.0045442184203	0.081441564635	4.1295744626	0.072199734451	0.00093815154007	-0.093019866713	1.9612106646	35.832034298	-0.72207301805	-0.0050580961799	0.57495347013	-22.289896982	29.525393395	-0.5663579906	-1.2444722315	51.216260569	18.11717724	39.439480525	41.656485982	1.0562128463	2.2992812529	0.45936652812	14.683963764	33.63586342	314.04442716	0.59104425572	0.95678297369	2.3696520264	2.6076800776	-6.7820725175e-05	-0.0004398284637	-0.017633472097	-0.055113963289	-0.00014455470437	-0.00085266145711	-0.029714537734	-0.15011190485	30.610502663	33.63586342	139.73130872	87.375105948	0.6253080054	0.95072044369	43.552888398	6.0599536207	18.022539568	18.094751427	18.02699696	36.56317848	52.330274994	26.886646089	36.1650696	43.002232743	0.743442398601108	0.625238374241781
303002	7.02858842e-05	0.00019991019389	-0.043425404794	0.34611599562	34.839280789	0.69603533859	-0.0011125922546	0.00053424657954	0.17422895165	44.059105436	-0.96768435702	-0.0093680447412	0.88636736981	-27.997785254	12.166236134	-0.21559089399	-1.4586115098	55.566107466	17.627302991	32.220786748	35.652857414	1.1065172832	2.0225928738	0.54707860266	16.01416268	26.484154625	247.57228015	0.56053898671	0.95395454441	3.4572953027	1.411570549	6.9381480621e-05	-0.00013074085991	-0.078651627724	0.036977139808	-0.00013701340762	0.00040414709945	-0.059911151879	-0.19806188196	29.018424026	27.576846458	100.84776103	55.831073677	0.55361738435	1.7659500867	60.478535775	9.1022319667	15.060887135	16.624300671	19.857727909	27.369764781	42.319152007	20.935403223	26.778826032	35.753199206	0.781789433113414	0.585553284403335
311010	-0.00015511737074	0.0031282486932	-0.017586304899	0.33103474005	16.569987972	0.2975426763	-0.0058977750123	0.29898869666	-5.4407793175	45.502644392	-1.0177013437	-0.0056408640225	0.58298552688	-20.541728044	34.230589653	-0.68038005169	-1.6667112128	59.036919064	17.955568949	34.290917337	40.604582321	1.1841206207	2.2613921306	0.52362463134	13.241760077	27.919881718	196.62412465	0.56559471178	0.94964382528	1.5632731914	1.2151819468	-3.8278052e-06	-0.00028570018123	-0.043088093324	-0.12477505864	-7.2097620257e-05	-0.00073720465202	-0.065618255977	-0.28162916806	28.910162914	29.657436887	111.01968063	75.911077436	0.6837623474	1.2910366879	52.239663622	5.2142967332	17.110048155	12.974949567	15.439892334	32.039757049	43.046598846	21.428401488	32.217674426	36.197322353	0.665113229609989	0.591988580785839
312003	-2.1359714574e-05	0.00019976420294	-0.0021300323046	0.072624578428	6.5316939792	0.11449598877	-0.0020432952758	0.088856874125	-1.6938550553	35.479174845	-0.71274481494	0.011254545256	-1.0986276208	34.887774282	34.168354171	-0.67879218351	-1.5627740392	57.385318825	17.503470768	38.186073579	35.08682394	0.91883822169	2.0045638036	0.45837314833	11.469295944	28.063930764	248.21020401	0.53993476406	0.98013843865	2.9791316986	3.1346421242	5.3732974898e-05	0.00068826055882	-0.071414210558	-0.30582376468	-0.00033192951869	-0.000858648994	-0.0047871583148	-0.25869524329	25.178743358	32.40199197	120.91876563	89.403666505	0.73936965892	1.0202278236	45.57366312	4.0784147878	14.165238673	15.997846164	15.420401124	32.934906297	48.829665546	24.726379518	28.412685174	36.917173531	0.870258455565711	0.669779865385329
312004	-3.7676363412e-05	0.00028724883291	-0.007458162814	0.12147349508	14.807620929	0.26435369721	0.0097845867132	-0.46343026918	5.8988431308	47.480141372	-1.0905494068	0.018474130749	-1.3477732541	32.27098893	19.921586368	-0.36242112769	-0.88898639121	41.636659904	16.366761075	27.881737187	35.276580672	1.2652217627	2.1553794615	0.58700650411	13.028837729	20.787761849	177.49767064	0.50949511588	0.9319078136	-1.609246353	0.0402049608	0.00017165529304	0.0020959003441	-0.10887900004	-0.609606168	4.863901012e-05	0.001796228931	-0.11094585782	-0.92388536666	28.130236508	30.883034445	158.05370706	150.62651281	0.95300841474	1.4950916788	56.223204965	4.8075151554	16.294406337	16.97591247	18.295901977	33.784176621	48.55321069	16.51234148	27.776551058	36.858606827	0.59447054623595	0.447991470689669
316005	6.0743351028e-06	0.00024773905318	-0.0075714568865	0.10553811566	9.4473366473	0.1663978658	-0.0031072836703	0.1251159523	-2.2435759629	45.279428146	-1.0098017627	0.00016585680731	-0.0071053156878	-0.5190844006	25.375692167	-0.4743151087	-1.9073756157	62.332849979	18.821884447	36.76733259	36.413609281	0.99037941335	1.934642059	0.51191868219	13.416396576	26.21402829	210.80544625	0.46729993601	0.96472551996	3.3978328704	0.4788107872	9.8134912907e-05	0.0011969629604	-0.10990187977	-0.35089980222	-8.6624597673e-05	0.0017653565748	-0.10931831038	-0.48560193102	31.587811817	29.351497136	195.91126984	143.86817686	0.73435375606	1.0557033444	46.552162554	1.5307635217	18.836185982	21.654997943	12.082638938	33.50186754	48.606061567	21.908909859	29.649476532	35.399858971	0.738930747575061	0.618898224338918
316007	1.7800115155e-05	0.0003460500083	-0.0082910244308	0.080726054187	8.4604488047	0.14874535722	0.002117217897	-0.16549457336	3.3665242406	33.613430935	-0.66473635446	-0.00019844350924	0.025841002714	-1.4005255575	19.161876869	-0.3474909534	-0.84070788523	40.054030788	13.202993554	37.772445049	40.721223635	1.0780669237	3.0842417265	0.34954034713	10.046480072	28.676193282	171.32838877	0.50510883825	0.96562082719	4.7346055034	0.71739520457	-2.5771398833e-05	-0.00049676832194	-0.033412557141	-0.32649939676	-0.00012356739967	-0.0033777326133	-0.076129715776	-0.17714508326	24.517713469	29.211266915	163.30766486	88.655917208	0.54287664504	0.91933349385	42.593366696	4.7206006844	14.664746725	14.548459569	16.112993501	31.858899669	45.770163366	27.36937617	32.144271498	43.096914299	0.851454237241087	0.635065795664983
319009	3.9325494973e-06	0.00051155691771	-0.012000941272	0.11597217577	9.8614298017	0.17383433836	6.1742092106e-05	-0.033797269496	0.74421693394	32.334587815	-0.63301900506	-0.0039739260371	0.40743398223	-14.110983782	14.022096058	-0.24973766487	-0.89932160733	41.965730644	11.158348952	37.621074217	45.108688478	1.1990271256	4.0425952505	0.29659836102	9.0569923822	28.812404906	128.73931133	0.48096741911	0.96583855468	2.5251700182	1.2167406082	-1.747050599e-05	-0.000132188659	-0.013877192732	-0.051273148142	-8.5154425872e-05	-0.00064308780552	-0.035685518057	-0.14860680977	20.478128261	31.242382647	117.46055081	70.167057073	0.59736700185	1.0104071291	45.296596267	3.1076504016	11.513388634	11.0737257	15.230572051	30.121912747	44.944230554	28.005538006	37.860851745	47.60202986	0.739696459937632	0.588326550114895
